sample id,source,batch number,batch date,xrf-wafer_formula,xrf-wafer_stdev,xrf-gde_formula,xrf-gde_stdev,libs-wafer_formula,libs-wafer_stdev,xrf-wafter-afteranneal_formula,xrf-wafer_Ag_mean,xrf-wafer_Ag_stdev,xrf-wafer_Au_mean,xrf-wafer_Au_stdev,xrf-gde_Ag_mean,xrf-gde_Ag_stdev,xrf-gde_Au_mean,xrf-gde_Au_stdev,xrf-wafer_Cu_mean,xrf-wafer_Cu_stdev,xrf-wafer_Hg_mean,xrf-wafer_Hg_stdev,xrf-wafer_Ir_mean,xrf-wafer_Ir_stdev,xrf-wafer_Pd_mean,xrf-wafer_Pd_stdev,xrf-wafer_Rh_mean,xrf-wafer_Rh_stdev,xrf-wafer_Ru_mean,xrf-wafer_Ru_stdev,xrf-wafer_Tl_mean,xrf-wafer_Tl_stdev,xrf-wafer_Cd_mean,xrf-wafer_Cd_stdev,xrf-wafer_Sn_mean,xrf-wafer_Sn_stdev,xrf-wafer_Co_mean,xrf-wafer_Co_stdev,xrf-wafer_Cr_mean,xrf-wafer_Cr_stdev,xrf-wafer_Fe_mean,xrf-wafer_Fe_stdev,xrf-wafer_Ga_mean,xrf-wafer_Ga_stdev,xrf-wafer_In_mean,xrf-wafer_In_stdev,xrf-wafer_Mn_mean,xrf-wafer_Mn_stdev,xrf-wafer_Ni_mean,xrf-wafer_Ni_stdev,xrf-wafer_O_mean,xrf-wafer_O_stdev,xrf-wafer_Pb_mean,xrf-wafer_Pb_stdev,xrf-wafer_Si_mean,xrf-wafer_Si_stdev,xrf-wafer_Zn_mean,xrf-wafer_Zn_stdev,xrf-gde_In_mean,xrf-gde_In_stdev,libs-wafer_Au_mean,libs-wafer_Au_stdev,libs-wafer_In_mean,libs-wafer_In_stdev,xrf-gde_Cu_mean,xrf-gde_Cu_stdev,xrf-wafter-afteranneal_Pd_mean,xrf-wafter-afteranneal_Pd_stdev,xrf-wafter-afteranneal_Sn_mean,xrf-wafter-afteranneal_Sn_stdev,xrf-wafter-afteranneal_stdev,xrf-gde_Pd_mean,xrf-gde_Pd_stdev,xrf-gde_Sn_mean,xrf-gde_Sn_stdev,xrf-gde_Zn_mean,xrf-gde_Zn_stdev,xrf-gde_Ga_mean,xrf-gde_Ga_stdev
vsp12_240816_Ag-0.222-In-0.667-Sn-0.111_pp0_rep1,vsp,12,240816,Ag-0.384-In-0.287-Sn-0.329,"[0.0200748598998847, 0.0276465790529919, 0.0247857485933617]",Ag-0.532-In-0.37-Sn-0.098,"[0.034961884007206, 0.0593043000127309, 0.0248646335183127]",,,,0.3839999999999999,0.0200748598998847,,,0.5313333333333333,0.034961884007206,,,,,,,,,,,,,,,,,,,0.3293333333333333,0.0247857485933617,,,,,,,,,0.2866666666666667,0.0276465790529919,,,,,,,,,,,,,0.3699999999999999,0.0593043000127309,,,,,,,,,,,,,,0.0984999999999999,0.0248646335183127,,,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep1,vsp,12,240816,Ag-0.321-In-0.482-Sn-0.197,"[0.0257164020293145, 0.0188767935130236, 0.0141891977691951]",Ag-0.422-In-0.392-Sn-0.186,"[0.0036055512754639, 0.0318171861316071, 0.0317700068198502]",,,,0.3213333333333333,0.0257164020293145,,,0.422,0.0036055512754639,,,,,,,,,,,,,,,,,,,0.1973333333333333,0.0141891977691951,,,,,,,,,0.4816666666666667,0.0188767935130236,,,,,,,,,,,,,0.3916666666666666,0.0318171861316071,,,,,,,,,,,,,,0.1863333333333333,0.0317700068198502,,,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep2,vsp,12,240816,Ag-0.363-In-0.434-Sn-0.203,"[0.0065064070986476, 0.0150443787951956, 0.013856406460551]",Ag-0.429-In-0.385-Sn-0.187,"[0.0134288247189891, 0.0335012437580059, 0.0290057465570761]",,,,0.3626666666666667,0.0065064070986476,,,0.4286666666666667,0.0134288247189891,,,,,,,,,,,,,,,,,,,0.2029999999999999,0.013856406460551,,,,,,,,,0.4343333333333333,0.0150443787951956,,,,,,,,,,,,,0.3846666666666666,0.0335012437580059,,,,,,,,,,,,,,0.1866666666666666,0.0290057465570761,,,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep3,vsp,12,240816,Ag-0.347-In-0.459-Sn-0.194,"[0.0040414518843274, 0.0058594652770823, 0.0035118845842842]",Ag-0.418-In-0.397-Sn-0.186,"[0.0501098792654702, 0.0430387422368885, 0.0165025250593154]",,,,0.3473333333333333,0.0040414518843274,,,0.418,0.0501098792654702,,,,,,,,,,,,,,,,,,,0.1943333333333333,0.0035118845842842,,,,,,,,,0.4586666666666666,0.0058594652770823,,,,,,,,,,,,,0.3966666666666666,0.0430387422368885,,,,,,,,,,,,,,0.1856666666666666,0.0165025250593154,,,,
vsp12_240816_Ag-0.333-In-0.333-Sn-0.333_pp0_rep1,vsp,12,240816,Ag-0.345-In-0.442-Sn-0.213,"[0.0066583281184793, 0.0009999999999999, 0.0058594652770823]",Ag-0.406-In-0.406-Sn-0.189,"[0.0220302821891443, 0.0257746645629644, 0.007767453465154]",,,,0.3446666666666667,0.0066583281184793,,,0.4056666666666667,0.0220302821891443,,,,,,,,,,,,,,,,,,,0.2133333333333333,0.0058594652770823,,,,,,,,,0.4419999999999999,0.0009999999999999,,,,,,,,,,,,,0.4056666666666666,0.0257746645629644,,,,,,,,,,,,,,0.1886666666666666,0.007767453465154,,,,
vsp12_240816_Ag-0.333-In-0.333-Sn-0.333_pp0_rep2,vsp,12,240816,,,Ag-0.726-Sn-0.274,"[0.0335111921602321, 0.0003055050463303, 0.033511192160232]",,,,,,,,0.7440000000000001,0.0335111921602321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0246333333333333,0.0003055050463303,,,,,,,,,,,,,,0.2809999999999999,0.033511192160232,,,,
vsp12_240816_Ag-0.333-In-0.333-Sn-0.333_pp0_rep3,vsp,12,240816,,,Ag-0.715-In-0.01-Sn-0.275,"[0.0430967902903839, 0.0301292216958885, 0.027024680078279]",,,,,,,,0.7156666666666668,0.0430967902903839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096,0.0301292216958885,,,,,,,,,,,,,,0.2746666666666666,0.027024680078279,,,,
vsp12_240816_Ag-0.333-In-0.5-Sn-0.167_pp0_rep1,vsp,12,240816,Ag-0.425-In-0.475-Sn-0.1,"[0.0025166114784235, 0.017088007490635, 0.016446985539403]",Ag-0.439-In-0.396-Sn-0.166,"[0.0257746645629644, 0.007767453465154, 0.0220302821891444]",,,,0.4246666666666667,0.0025166114784235,,,0.4386666666666667,0.0257746645629644,,,,,,,,,,,,,,,,,,,0.1003666666666666,0.016446985539403,,,,,,,,,0.4749999999999999,0.017088007490635,,,,,,,,,,,,,0.3956666666666666,0.007767453465154,,,,,,,,,,,,,,0.1656666666666666,0.0220302821891444,,,,
vsp12_240816_Ag-0.5-In-0.167-Sn-0.333_pp0_rep1,vsp,12,240816,Ag-0.45-In-0.501-Sn-0.049,"[0.0075055534994651, 0.0086602540378443, 0.0037541088600802]",Ag-0.532-In-0.44-Sn-0.028,"[0.0092915732431775, 0.0172143351115671, 0.012260641636282]",,,,0.4496666666666666,0.0075055534994651,,,0.5323333333333333,0.0092915732431775,,,,,,,,,,,,,,,,,,,0.0485666666666666,0.0037541088600802,,,,,,,,,0.5020000000000001,0.0086602540378443,,,,,,,,,,,,,0.4396666666666666,0.0172143351115671,,,,,,,,,,,,,,0.0283333333333333,0.012260641636282,,,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep1,vsp,12,240816,Ag-0.427-In-0.5-Sn-0.073,"[0.0087368949480541, 0.0030550504633038, 0.0064156059729381]",Ag-0.522-In-0.426-Sn-0.052,"[0.0062449979983984, 0.0120554275466834, 0.0140058321185616]",,,,0.4273333333333333,0.0087368949480541,,,0.521,0.0062449979983984,,,,,,,,,,,,,,,,,,,0.0733999999999999,0.0064156059729381,,,,,,,,,0.4996666666666667,0.0030550504633038,,,,,,,,,,,,,0.4263333333333333,0.0120554275466834,,,,,,,,,,,,,,0.0522666666666666,0.0140058321185616,,,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep2,vsp,12,240816,Ag-0.449-In-0.508-Sn-0.043,"[0.0101159939369956, 0.0075055534994651, 0.0032715949219506]",Ag-0.501-In-0.443-Sn-0.056,"[0.0173877351409932, 0.0367151195013716, 0.0193094104864269]",,,,0.4486666666666667,0.0101159939369956,,,0.5003333333333334,0.0173877351409932,,,,,,,,,,,,,,,,,,,0.0427333333333333,0.0032715949219506,,,,,,,,,0.5083333333333333,0.0075055534994651,,,,,,,,,,,,,0.443,0.0367151195013716,,,,,,,,,,,,,,0.0562333333333333,0.0193094104864269,,,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep3,vsp,12,240816,Ag-0.454-In-0.474-Sn-0.072,"[0.0190787840283389, 0.0320832251080425, 0.0206094638455249]",Ag-0.513-In-0.414-Sn-0.073,"[0.0272274371422161, 0.01552417469626, 0.0129046503245922]",,,,0.454,0.0190787840283389,,,0.5133333333333333,0.0272274371422161,,,,,,,,,,,,,,,,,,,0.0722999999999999,0.0206094638455249,,,,,,,,,0.4736666666666666,0.0320832251080425,,,,,,,,,,,,,0.414,0.01552417469626,,,,,,,,,,,,,,0.0726,0.0129046503245922,,,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep1,vsp,12,240816,Ag-0.35-In-0.65,"[0.0205182845286831, 0.0172143351115671]",Ag-0.512-In-0.488,"[0.0316596483450674, 0.0308922859842604]",,,,0.2759999999999999,0.0205182845286831,,,0.2983333333333333,0.0316596483450674,,,,,,,,,,,,,,,,,,,0.2116666666666666,0.0056862407030773,,,,,,,,,0.5123333333333334,0.0172143351115671,,,,,,,,,,,,,0.2836666666666667,0.0308922859842604,,,,,,,,,,,,,,0.4183333333333333,0.0198578280114752,,,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep2,vsp,12,240816,,,Ag-1.0,"[0.0338427737239921, 0.020114008385534]",,,,,,,,0.7566666666666667,0.0338427737239921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0044666666666666,0.020114008385534,,,,,,,,,,,,,,0.2476666666666666,0.0144337567297406,,,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep3,vsp,12,240816,,,Ag-0.989-In-0.011,"[0.0341955162752857, 0.0151621238617813]",,,,,,,,0.7306666666666667,0.0341955162752857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078999999999999,0.0151621238617813,,,,,,,,,,,,,,0.2613333333333333,0.0361155552820849,,,,
vsp12_240816_Ag-0.5-Sn-0.5_pp0_rep1,vsp,12,240816,Ag-0.686-Sn-0.314,"[0.0119303534454488, 0.0195192212959431]",Ag-0.654-Sn-0.346,"[0.0052915026221291, 0.0128970280814354]",,,,0.6743333333333332,0.0119303534454488,,,0.322,0.0052915026221291,,,,,,,,,,,,,,,,,,,0.3089999999999999,0.0195192212959431,,,,,,,,,0.0169666666666666,0.0091903935352809,,,,,,,,,,,,,0.5083333333333334,0.0076376261582597,,,,,,,,,,,,,,0.1696666666666666,0.0128970280814354,,,,
vsp12_240816_Ag-0.5-Sn-0.5_pp0_rep2,vsp,12,240816,,,Ag-0.398-Sn-0.602,"[0.0918386265867109, 0.0880965379569481]",,,,,,,,0.3896666666666666,0.0918386265867109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194333333333333,0.0384947182524217,,,,,,,,,,,,,,0.5910000000000001,0.0880965379569481,,,,
vsp12_240816_Ag-0.5-Sn-0.5_pp0_rep3,vsp,12,240816,,,Ag-0.987-Sn-0.013,"[0.0266333124739174, 0.01196049051391]",,,,,,,,0.9916666666666668,0.0266333124739174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0048666666666666,0.0230617287585587,,,,,,,,,,,,,,0.0134666666666666,0.01196049051391,,,,
vsp12_240816_Ag-0.667-In-0.111-Sn-0.222_pp0_rep1,vsp,12,240816,Ag-0.481-In-0.485-Sn-0.033,"[0.007767453465154, 0.0130511813003012, 0.0100351050484453]",Ag-0.514-In-0.457-Sn-0.029,"[0.021594752448994, 0.0232880512996114, 0.0109192490584288]",,,,0.4813333333333333,0.007767453465154,,,0.5133333333333333,0.021594752448994,,,,,,,,,,,,,,,,,,,0.0329666666666666,0.0100351050484453,,,,,,,,,0.4853333333333333,0.0130511813003012,,,,,,,,,,,,,0.4573333333333333,0.0232880512996114,,,,,,,,,,,,,,0.0289999999999999,0.0109192490584288,,,,
vsp12_240816_Ag-0.727-In-0.182-Sn-0.091_pp0_rep1,vsp,12,240816,Ag-0.519-In-0.447-Sn-0.034,"[0.0025166114784235, 0.0110604400153579, 0.0103161685394013]",Ag-0.595-In-0.371-Sn-0.034,"[0.0086216781042517, 0.0340440890610983, 0.0254501473473141]",,,,0.5183333333333334,0.0025166114784235,,,0.5956666666666667,0.0086216781042517,,,,,,,,,,,,,,,,,,,0.0341666666666666,0.0103161685394013,,,,,,,,,0.4473333333333333,0.0110604400153579,,,,,,,,,,,,,0.371,0.0340440890610983,,,,,,,,,,,,,,0.0337,0.0254501473473141,,,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep1,vsp,12,240816,Ag-0.65-In-0.328-Sn-0.022,"[0.0085049005481154, 0.0191398362932741, 0.0114023389413459]",Ag-0.681-In-0.295-Sn-0.024,"[0.0237135685491098, 0.022120880030716, 0.0013316656236958]",,,,0.6506666666666666,0.0085049005481154,,,0.6806666666666666,0.0237135685491098,,,,,,,,,,,,,,,,,,,0.0216666666666666,0.0114023389413459,,,,,,,,,0.3276666666666666,0.0191398362932741,,,,,,,,,,,,,0.2953333333333334,0.022120880030716,,,,,,,,,,,,,,0.0240666666666666,0.0013316656236958,,,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep2,vsp,12,240816,Ag-0.591-In-0.368-Sn-0.041,"[0.0192873015219858, 0.0194679223339317, 0.0012]",Ag-0.65-In-0.317-Sn-0.033,"[0.0398288002999504, 0.0353459097114975, 0.0100001666652778]",,,,0.5910000000000001,0.0192873015219858,,,0.6496666666666666,0.0398288002999504,,,,,,,,,,,,,,,,,,,0.0412999999999999,0.0012,,,,,,,,,0.368,0.0194679223339317,,,,,,,,,,,,,0.3173333333333333,0.0353459097114975,,,,,,,,,,,,,,0.0330333333333333,0.0100001666652778,,,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep3,vsp,12,240816,Ag-0.597-In-0.357-Sn-0.046,"[0.008144527815247, 0.0069282032302755, 0.0069579690523408]",Ag-0.669-In-0.294-Sn-0.037,"[0.0194679223339317, 0.0238607068908977, 0.0048692915295759]",,,,0.5966666666666667,0.008144527815247,,,0.6689999999999999,0.0194679223339317,,,,,,,,,,,,,,,,,,,0.0463666666666666,0.0069579690523408,,,,,,,,,0.357,0.0069282032302755,,,,,,,,,,,,,0.2943333333333333,0.0238607068908977,,,,,,,,,,,,,,0.0368,0.0048692915295759,,,,
vsp12_240816_Ag-1.0_pp0_rep1,vsp,12,240816,Ag-1.0,[0.0072341781380702],Ag-1.0,[0.0212210587231959],,,,0.9446666666666664,0.0072341781380702,,,0.7383333333333333,0.0212210587231959,,,,,,,,,,,,,,,,,,,0.0393666666666666,0.003156474826976,,,,,,,,,0.0161,0.004592385001282,,,,,,,,,,,,,0.0024,0.0223383079036886,,,,,,,,,,,,,,0.2596666666666666,0.0434664621672081,,,,
vsp12_240816_In-0.5-Sn-0.5_pp0_rep1,vsp,12,240816,In-0.191-Sn-0.809,"[0.0468643076694122, 0.0145716619962629]",In-0.9-Sn-0.1,"[0.0356417358350197, 0.0104312031904282]",,,,0.637,0.0455741154604233,,,0.3579999999999999,0.0250599281722833,,,,,,,,,,,,,,,,,,,0.2933333333333333,0.0145716619962629,,,,,,,,,0.0694333333333333,0.0468643076694122,,,,,,,,,,,,,0.5783333333333335,0.0356417358350197,,,,,,,,,,,,,,0.0639,0.0104312031904282,,,,
vsp12_240816_In-0.5-Sn-0.5_pp0_rep2,vsp,12,240816,,,In-0.031-Sn-0.969,"[0.030514969004299, 0.0185202591774521]",,,,,,,,0.738,0.0182482875908946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078666666666666,0.030514969004299,,,,,,,,,,,,,,0.254,0.0185202591774521,,,,
vsp12_240816_In-0.5-Sn-0.5_pp0_rep3,vsp,12,240816,,,In-0.951-Sn-0.049,"[0.0280059517483933, 0.0022278539748675]",,,,,,,,0.0815999999999999,0.0263501423146061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8733333333333334,0.0280059517483933,,,,,,,,,,,,,,0.0448666666666666,0.0022278539748675,,,,
vsp12_240816_In-1.0_pp0_rep1,vsp,12,240816,In-1.0,[0.0225500184774499],In-1.0,[0.0438444219181109],,,,-0.0025333333333333,0.0057134344604041,,,0.3093333333333333,0.0141891977691951,,,,,,,,,,,,,,,,,,,0.995,0.0255147016443461,,,,,,,,,0.0074333333333333,0.0225500184774499,,,,,,,,,,,,,0.5303333333333334,0.0438444219181109,,,,,,,,,,,,,,0.1603333333333333,0.0332465537061111,,,,
vsp12_240816_Sn-1.0_pp0_rep1,vsp,12,240816,Sn-1.0,[0.0125707332058767],Sn-1.0,[0.0177857620959388],,,,0.0161,0.0169608372434853,,,0.2713333333333333,0.0354729944229879,,,,,,,,,,,,,,,,,,,0.0425666666666666,0.0125707332058767,,,,,,,,,0.9413333333333332,0.0152752523165194,,,,,,,,,,,,,0.5873333333333334,0.049742671151973,,,,,,,,,,,,,,0.1416666666666667,0.0177857620959388,,,,
vsp13_240823_Ag-0.067-Au-0.533-Zn-0.4_pp0_rep1,vsp,13,240823,Ag-0.078-Au-0.419-Zn-0.503,"[0.0293417639097129, 0.0051716825115236, 0.0250489926610499]",Ag-0.258-Au-0.313-Zn-0.429,"[0.0325115364140177, 0.0130511813003012, 0.0230072452356498]",,,,0.0783736666666666,0.0293417639097129,0.41929,0.0051716825115236,0.258,0.0325115364140177,0.3133333333333333,0.0130511813003012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5023333333333333,0.0250489926610499,,,,,,,,,,,,,,,,,,0.4286666666666667,0.0230072452356498,,
vsp13_240823_Ag-0.083-Au-0.417-Zn-0.5_pp0_rep1,vsp,13,240823,Ag-0.1-Au-0.425-Zn-0.475,"[0.0289544088237583, 0.0057134957192014, 0.02924441143193]",Ag-0.346-Au-0.069-Zn-0.585,"[0.0115902257671424, 0.0042253205006642, 0.0156204993518132]",,,,0.1004363333333333,0.0289544088237583,0.4248433333333333,0.0057134957192014,0.3456666666666666,0.0115902257671424,0.0692333333333333,0.0042253205006642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47472,0.02924441143193,,,,,,,,,,,,,,,,,,0.585,0.0156204993518132,,
vsp13_240823_Ag-0.1-Au-0.4-Zn-0.5_pp0_rep1,vsp,13,240823,Ag-0.095-Au-0.374-Zn-0.531,"[0.0131523428711389, 0.0234375795109762, 0.0137007165262745]",Ag-0.226-Au-0.315-Zn-0.459,"[0.0162890556304941, 0.0156204993518132, 0.0011547005383792]",,,,0.095331,0.0131523428711389,0.3739433333333333,0.0234375795109762,0.2256666666666666,0.0162890556304941,0.3149999999999999,0.0156204993518132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5307266666666667,0.0137007165262745,,,,,,,,,,,,,,,,,,0.4593333333333333,0.0011547005383792,,
vsp13_240823_Ag-0.1-Au-0.5-Zn-0.4_pp0_rep1,vsp,13,240823,Ag-0.058-Au-0.437-Zn-0.505,"[0.017268810700219, 0.0178472892432809, 0.0323373483761423]",Ag-0.171-Au-0.352-Zn-0.477,"[0.0416173040933696, 0.0341760149812701, 0.0263122278291545]",,,,0.057927,0.017268810700219,0.4371233333333333,0.0178472892432809,0.171,0.0416173040933696,0.352,0.0341760149812701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50495,0.0323373483761423,,,,,,,,,,,,,,,,,,0.4766666666666667,0.0263122278291545,,
vsp13_240823_Ag-0.111-Au-0.222-Zn-0.667_pp0_rep1,vsp,13,240823,Ag-0.112-Au-0.263-Zn-0.625,"[0.0047830011499057, 0.005749373878954, 0.0084942470727742]",Ag-0.281-Au-0.181-Zn-0.538,"[0.0219317121994613, 0.013076696830622, 0.0335111921602321]",,,,0.11164,0.0047830011499057,0.2629999999999999,0.005749373878954,0.281,0.0219317121994613,0.1809999999999999,0.013076696830622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6253566666666667,0.0084942470727742,,,,,,,,,,,,,,,,,,0.5380000000000001,0.0335111921602321,,
vsp13_240823_Ag-0.111-Au-0.667-Zn-0.222_pp0_rep1,vsp,13,240823,Ag-0.101-Au-0.392-Zn-0.507,"[0.0057917484694462, 0.0110822034511794, 0.0167851372747836]",Ag-0.141-Au-0.413-Zn-0.446,"[0.0196553639837407, 0.0226495033058122, 0.0075498344352707]",,,,0.1012936666666666,0.0057917484694462,0.3921333333333333,0.0110822034511794,0.1413333333333333,0.0196553639837407,0.413,0.0226495033058122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5065733333333333,0.0167851372747836,,,,,,,,,,,,,,,,,,0.446,0.0075498344352707,,
vsp13_240823_Ag-0.125-Au-0.125-Zn-0.75_pp0_rep1,vsp,13,240823,Ag-0.084-Au-0.125-Zn-0.791,"[0.0033720806633293, 0.0070650973100163, 0.0093491193881206]",Ag-0.364-Au-0.084-Zn-0.552,"[0.0337243729865113, 0.0048757905341937, 0.0295014123955672]",,,,0.08442,0.0033720806633293,0.12477,0.0070650973100163,0.3636666666666666,0.0337243729865113,0.0839666666666666,0.0048757905341937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7908066666666667,0.0093491193881206,,,,,,,,,,,,,,,,,,0.5523333333333333,0.0295014123955672,,
vsp13_240823_Ag-0.125-Au-0.125-Zn-0.75_pp0_rep2,vsp,13,240823,Ag-0.073-Au-0.126-Zn-0.801,"[0.0054041939577825, 0.0051969253730771, 0.0084138952532898]",Ag-0.231-Au-0.259-Zn-0.51,"[0.0157162336455017, 0.0126622799421483, 0.0152752523165194]",,,,0.0732323333333333,0.0054041939577825,0.1264433333333333,0.0051969253730771,0.2309999999999999,0.0157162336455017,0.2586666666666666,0.0126622799421483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8003233333333334,0.0084138952532898,,,,,,,,,,,,,,,,,,0.5103333333333334,0.0152752523165194,,
vsp13_240823_Ag-0.125-Au-0.125-Zn-0.75_pp0_rep3,vsp,13,240823,Ag-0.062-Au-0.118-Zn-0.82,"[0.0033783964144743, 0.0035769027570418, 0.0009298566197717]",Ag-0.352-Au-0.199-Zn-0.45,"[0.0035118845842842, 0.0058594652770823, 0.0060277137733417]",,,,0.0623556666666666,0.0033783964144743,0.1178466666666666,0.0035769027570418,0.3516666666666667,0.0035118845842842,0.1986666666666666,0.0058594652770823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8197933333333333,0.0009298566197717,,,,,,,,,,,,,,,,,,0.4496666666666666,0.0060277137733417,,
vsp13_240823_Ag-0.125-Au-0.125-Zn-0.75_pp0_rep4,vsp,13,240823,Ag-0.066-Au-0.097-Zn-0.837,"[0.0028407107091946, 0.0077433971227104, 0.0102148388794602]",Ag-0.23-Au-0.233-Zn-0.537,"[0.0323573793747268, 0.0089628864398325, 0.0372066302335125]",,,,0.0657786666666666,0.0028407107091946,0.096988,0.0077433971227104,0.2299999999999999,0.0323573793747268,0.2326666666666666,0.0089628864398325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8372333333333333,0.0102148388794602,,,,,,,,,,,,,,,,,,0.5373333333333333,0.0372066302335125,,
vsp13_240823_Ag-0.125-Au-0.5-Zn-0.375_pp0_rep1,vsp,13,240823,Ag-0.106-Au-0.361-Zn-0.533,"[0.0048411155739147, 0.0246619795096284, 0.0238749010469153]",Ag-0.551-Au-0.078-Zn-0.371,"[0.011060440015358, 0.0052538874496255, 0.0058594652770822]",,,,0.10573,0.0048411155739147,0.3606433333333333,0.0246619795096284,0.5506666666666667,0.011060440015358,0.0779333333333333,0.0052538874496255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53363,0.0238749010469153,,,,,,,,,,,,,,,,,,0.3713333333333333,0.0058594652770822,,
vsp13_240823_Ag-0.125-Au-0.625-Zn-0.25_pp0_rep1,vsp,13,240823,Ag-0.118-Au-0.394-Zn-0.488,"[0.0058174421641588, 0.0176132828664429, 0.0142211849014067]",Ag-0.123-Au-0.392-Zn-0.486,"[0.0037859388972001, 0.0261023626006024, 0.0228108161479008]",,,,0.1178466666666666,0.0058174421641588,0.3942333333333334,0.0176132828664429,0.1226666666666666,0.0037859388972001,0.3916666666666666,0.0261023626006024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4879199999999999,0.0142211849014067,,,,,,,,,,,,,,,,,,0.4856666666666667,0.0228108161479008,,
vsp13_240823_Ag-0.167-Au-0.167-Zn-0.667_pp0_rep1,vsp,13,240823,Ag-0.123-Au-0.189-Zn-0.688,"[0.0132584765339008, 0.0045152777692334, 0.0176687134034523]",Ag-0.365-Au-0.14-Zn-0.496,"[0.0100166528008778, 0.0051316014394468, 0.0125299640861416]",,,,0.12296,0.0132584765339008,0.1893366666666666,0.0045152777692334,0.3646666666666666,0.0100166528008778,0.1396666666666667,0.0051316014394468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6877033333333333,0.0176687134034523,,,,,,,,,,,,,,,,,,0.496,0.0125299640861416,,
vsp13_240823_Ag-0.167-Au-0.667-Zn-0.167_pp0_rep1,vsp,13,240823,Ag-0.145-Au-0.416-Zn-0.439,"[0.0097805879168892, 0.0085196322299341, 0.0150637180005468]",Ag-0.213-Au-0.405-Zn-0.381,"[0.0205507501890644, 0.0133166562369587, 0.0076376261582597]",,,,0.14485,0.0097805879168892,0.4164033333333333,0.0085196322299341,0.2133333333333333,0.0205507501890644,0.4046666666666667,0.0133166562369587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43875,0.0150637180005468,,,,,,,,,,,,,,,,,,0.3813333333333333,0.0076376261582597,,
vsp13_240823_Ag-0.182-Au-0.182-Zn-0.636_pp0_rep1,vsp,13,240823,Ag-0.185-Au-0.23-Zn-0.585,"[0.0086944177493377, 0.0074314489390248, 0.0056340068630889]",Ag-0.211-Au-0.283-Zn-0.506,"[0.0365923489270639, 0.0190787840283389, 0.0215715862498179]",,,,0.1848299999999999,0.0086944177493377,0.2303266666666666,0.0074314489390248,0.211,0.0365923489270639,0.283,0.0190787840283389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5848466666666666,0.0056340068630889,,,,,,,,,,,,,,,,,,0.5056666666666666,0.0215715862498179,,
