xrd dir,sample id,source,batch number,batch date,target comp,xrf comp,xrf offset,xrf stdev,allsolutions_cifids,allsolutions_formulas,allsolutions_weights,allsolutions_rwp,total no of solutions,solutions_target_cifids,solutions_target_qrankings,solutions_target_qscore,solutions_target_formulas,solutions_target_rwp,solutions_target_wt,solutions_target_rankings
vsp14_240906\/raw\/vsp14_240906_Au-0.25-Cu-0.625-Zn-0.125_pp0_rep1.xy,vsp14_240906_Au-0.25-Cu-0.625-Zn-0.125_pp0_rep1,vsp,14,240906,Au-0.25-Cu-0.625-Zn-0.125,Au-0.363-Cu-0.05-Zn-0.587,"[-0.113, 0.575, -0.462]","[0.01, 0.01, 0.02]","[['cod-5910022', 'cod-1510322'], ['dcgat-agm003264644', 'mp-2647117'], ['oqmd-794674', 'oqmd-405374', 'cod-1510322'], ['oqmd-311946', 'mp-1120774'], ['mp-864623', 'mp-1120774']]","[['Au-0.385-Zn-0.615', 'Au-0.5-Zn-0.5'], ['Cu-0.625-Zn-0.375', 'Zn-1.0'], ['Au-0.25-Cu-0.25-Zn-0.5', 'Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.5-Zn-0.5'], ['Au-0.25-Zn-0.75', 'Cu-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Cu-1.0']]","[[0.05, 0.95], [0.04, 0.96], [0.06, 0.0, 0.94], [0.95, 0.05], [1.0, 0.0]]","[39.2, 46.0, 48.8, 48.9, 49.4]",5,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.333-Cu-0.333-Zn-0.333_pp0_rep1.xy,vsp14_240906_Au-0.333-Cu-0.333-Zn-0.333_pp0_rep1,vsp,14,240906,Au-0.333-Cu-0.333-Zn-0.333,Au-0.287-Cu-0.095-Zn-0.618,"[0.046, 0.238, -0.285]","[0.02, 0.0, 0.02]","[['dcgat-agm003264274', 'cod-1510117', 'mp-2647117'], ['dcgat-agm002146075', 'cod-1510117', 'mp-2647117'], ['dcgat-agm002335366', 'cod-1510117', 'mp-2647117'], ['cod-1510597', 'cod-1510117', 'mp-2647117'], ['cod-1510117', 'mp-2647117', 'mp-1120774'], ['dcgat-agm003195017', 'mp-2647117', 'mp-1120774']]","[['Cu-0.75-Zn-0.25', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Au-0.25-Cu-0.75', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Cu-0.889-Zn-0.111', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Au-0.2-Cu-0.8', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0', 'Cu-1.0'], ['Cu-0.8-Zn-0.2', 'Zn-1.0', 'Cu-1.0']]","[[0.0, 0.02, 0.98], [0.0, 0.02, 0.98], [0.0, 0.01, 0.98], [0.0, 0.02, 0.98], [0.01, 0.98, 0.01], [0.02, 0.97, 0.01]]","[46.1, 46.4, 46.4, 46.4, 46.4, 46.8]",6,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.333-Cu-0.444-Zn-0.222_pp0_rep1.xy,vsp14_240906_Au-0.333-Cu-0.444-Zn-0.222_pp0_rep1,vsp,14,240906,Au-0.333-Cu-0.444-Zn-0.222,Au-0.489-Cu-0.171-Zn-0.34,"[-0.156, 0.273, -0.118]","[0.01, 0.0, 0.01]","[['mp-989782', 'mp-2647117'], ['cod-1510067', 'mp-2647117', 'dcgat-agm003157171'], ['oqmd-743920', 'mp-2647117', 'dcgat-agm003157171'], ['mp-989782'], ['dcgat-agm002146075', 'mp-2647117', 'dcgat-agm003157171'], ['mp-2647117'], ['mp-864623', 'oqmd-405374', 'cod-1510117'], ['cod-1510322', 'oqmd-405374', 'cod-1510117']]","[['Cu-1.0', 'Zn-1.0'], ['Au-0.12-Zn-0.88', 'Zn-1.0', 'Au-1.0'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Zn-1.0', 'Au-1.0'], ['Cu-1.0'], ['Au-0.25-Cu-0.75', 'Zn-1.0', 'Au-1.0'], ['Zn-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.25-Cu-0.25-Zn-0.5'], ['Au-0.5-Zn-0.5', 'Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.25-Cu-0.25-Zn-0.5']]","[[0.34, 0.66], [0.22, 0.78, 0.0], [0.11, 0.89, 0.0], [1.0], [0.0, 1.0, 0.0], [1.0], [0.72, 0.2, 0.07], [0.71, 0.22, 0.07]]","[39.9, 40.4, 44.0, 45.6, 47.4, 47.4, 48.6, 49.8]",8,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.364-Cu-0.273-Zn-0.364_pp0_rep1.xy,vsp14_240906_Au-0.364-Cu-0.273-Zn-0.364_pp0_rep1,vsp,14,240906,Au-0.364-Cu-0.273-Zn-0.364,Au-0.251-Cu-0.198-Zn-0.551,"[0.113, 0.075, -0.187]","[0.0, 0.01, 0.01]","[['dcgat-agm003186280', 'oqmd-1374928', 'cod-1510573'], ['oqmd-676709', 'mp-1120774', 'cod-1510573'], ['cod-1510385', 'dcgat-agm002371389', 'oqmd-794674'], ['mp-989782', 'mp-79'], ['dcgat-agm003380636']]","[['Au-0.5-Cu-0.25-Zn-0.25', 'Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.625-Zn-0.375'], ['Au-0.625-Zn-0.375', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Au-0.111-Cu-0.889', 'Au-0.25-Cu-0.25-Zn-0.5'], ['Cu-1.0', 'Zn-1.0'], ['Au-0.364-Cu-0.273-Zn-0.364']]","[[0.36, 0.03, 0.6], [0.19, 0.0, 0.81], [0.04, 0.01, 0.95], [1.0, 0.0], [1.0]]","[26.5, 26.6, 30.5, 31.3, 31.6]",5,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.375-Cu-0.375-Zn-0.25_pp0_rep1.xy,vsp14_240906_Au-0.375-Cu-0.375-Zn-0.25_pp0_rep1,vsp,14,240906,Au-0.375-Cu-0.375-Zn-0.25,Au-0.206-Cu-0.117-Zn-0.677,"[0.169, 0.258, -0.427]","[0.0, 0.0, 0.01]","[['oqmd-794674', 'mp-1120774', 'cod-1510573'], ['oqmd-311946', 'mp-1120774', 'cod-1510573'], ['oqmd-743920', 'cod-1100057', 'mp-2647117'], ['cod-5910022', 'mp-1120774', 'cod-1510573'], ['dcgat-agm002146075', 'cod-1100057', 'mp-2647117'], ['oqmd-405374', 'cod-1510117', 'mp-1120774']]","[['Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Au-0.25-Zn-0.75', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Cu-0.385-Zn-0.615', 'Zn-1.0'], ['Au-0.385-Zn-0.615', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Au-0.25-Cu-0.75', 'Cu-0.385-Zn-0.615', 'Zn-1.0'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0']]","[[0.84, 0.15, 0.01], [0.85, 0.12, 0.03], [0.02, 0.0, 0.98], [0.77, 0.19, 0.04], [0.02, 0.0, 0.98], [0.11, 0.82, 0.07]]","[40.4, 41.4, 42.1, 42.2, 46.5, 47.2]",6,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.4-Cu-0.1-Zn-0.5_pp0_rep1.xy,vsp14_240906_Au-0.4-Cu-0.1-Zn-0.5_pp0_rep1,vsp,14,240906,Au-0.4-Cu-0.1-Zn-0.5,Au-0.258-Cu-0.071-Zn-0.671,"[0.142, 0.029, -0.171]","[0.0, 0.0, 0.01]","[['dcgat-agm003162777', 'cod-1510573'], ['dcgat-agm002147130', 'cod-1510573'], ['dcgat-agm003189902', 'cod-5910022', 'mp-1120774']]","[['Au-0.75-Cu-0.25', 'Au-0.625-Zn-0.375'], ['Cu-0.25-Zn-0.75', 'Au-0.625-Zn-0.375'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.385-Zn-0.615', 'Cu-1.0']]","[[0.1, 0.9], [0.93, 0.07], [0.0, 0.88, 0.12]]","[40.1, 41.0, 43.9]",3,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.417-Cu-0.167-Zn-0.417_pp0_rep1.xy,vsp14_240906_Au-0.417-Cu-0.167-Zn-0.417_pp0_rep1,vsp,14,240906,Au-0.417-Cu-0.167-Zn-0.417,Au-0.271-Cu-0.06-Zn-0.669,"[0.146, 0.107, -0.252]","[0.0, 0.01, 0.01]","[['dcgat-agm003203458', 'cod-1510573'], ['mp-864623', 'mp-1120774', 'cod-1510573']]","[['Au-0.833-Zn-0.167', 'Au-0.625-Zn-0.375'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Cu-1.0', 'Au-0.625-Zn-0.375']]","[[0.06, 0.94], [0.89, 0.0, 0.11]]","[47.5, 49.9]",2,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.429-Cu-0.429-Zn-0.143_pp0_rep1.xy,vsp14_240906_Au-0.429-Cu-0.429-Zn-0.143_pp0_rep1,vsp,14,240906,Au-0.429-Cu-0.429-Zn-0.143,Au-0.34-Cu-0.098-Zn-0.562,"[0.089, 0.331, -0.419]","[0.01, 0.0, 0.01]","[['dcgat-agm003194953', 'cod-1510117', 'mp-2647117'], ['mp-1008634', 'cod-1510117', 'mp-2647117'], ['dcgat-agm003197255', 'cod-1510117', 'mp-2647117'], ['dcgat-agm003264644', 'dcgat-agm003157171', 'mp-2647117'], ['oqmd-742755', 'oqmd-405374', 'mp-2647117'], ['dcgat-agm003542978'], ['oqmd-311946', 'mp-1120774']]","[['Au-0.8-Cu-0.2', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Au-1.0', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Cu-0.167-Zn-0.833', 'Au-0.25-Cu-0.25-Zn-0.5', 'Zn-1.0'], ['Cu-0.625-Zn-0.375', 'Au-1.0', 'Zn-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Au-0.25-Cu-0.5-Zn-0.25', 'Zn-1.0'], ['Au-0.429-Cu-0.429-Zn-0.143'], ['Au-0.25-Zn-0.75', 'Cu-1.0']]","[[0.0, 0.02, 0.98], [0.04, 0.02, 0.94], [0.06, 0.02, 0.93], [0.06, 0.0, 0.94], [0.0, 0.0, 1.0], [1.0], [0.93, 0.07]]","[38.8, 39.8, 40.9, 41.1, 42.0, 44.3, 44.9]",7,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.444-Cu-0.111-Zn-0.444_pp0_rep1.xy,vsp14_240906_Au-0.444-Cu-0.111-Zn-0.444_pp0_rep1,vsp,14,240906,Au-0.444-Cu-0.111-Zn-0.444,Au-0.273-Cu-0.066-Zn-0.661,"[0.171, 0.045, -0.217]","[0.0, 0.01, 0.01]","[['dcgat-agm003186768', 'oqmd-794674', 'mp-1120774']]","[['Au-0.5-Zn-0.5', 'Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0']]","[[0.0, 1.0, 0.0]]",[44.1],1,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.5-Cu-0.1-Zn-0.4_pp0_rep1.xy,vsp14_240906_Au-0.5-Cu-0.1-Zn-0.4_pp0_rep1,vsp,14,240906,Au-0.5-Cu-0.1-Zn-0.4,Au-0.312-Cu-0.068-Zn-0.62,"[0.188, 0.032, -0.22]","[0.01, 0.0, 0.01]","[['cod-1510117', 'mp-864623'], ['dcgat-agm003264274', 'mp-864623'], ['oqmd-743920', 'mp-864623'], ['dcgat-agm002384617', 'mp-864623', 'mp-1120774'], ['mp-864623', 'mp-1120774'], ['oqmd-405374', 'mp-864623', 'mp-1120774'], ['dcgat-agm003195017', 'mp-2647117', 'mp-1120774']]","[['Au-0.25-Cu-0.25-Zn-0.5', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Cu-0.75-Zn-0.25', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.8-Zn-0.2', 'Au-0.5-Cu-0.25-Zn-0.25', 'Cu-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25', 'Cu-1.0'], ['Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.5-Cu-0.25-Zn-0.25', 'Cu-1.0'], ['Cu-0.8-Zn-0.2', 'Zn-1.0', 'Cu-1.0']]","[[0.03, 0.97], [0.03, 0.97], [0.01, 0.99], [0.0, 1.0, 0.0], [1.0, 0.0], [0.0, 1.0, 0.0], [0.01, 0.98, 0.01]]","[37.8, 38.0, 38.1, 43.8, 44.5, 45.2, 47.7]",7,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.5-Cu-0.125-Zn-0.375_pp0_rep1.xy,vsp14_240906_Au-0.5-Cu-0.125-Zn-0.375_pp0_rep1,vsp,14,240906,Au-0.5-Cu-0.125-Zn-0.375,Au-0.353-Cu-0.085-Zn-0.562,"[0.147, 0.04, -0.187]","[0.01, 0.0, 0.01]","[['oqmd-743920', 'mp-864623'], ['mp-864623'], ['dcgat-agm003264274', 'mp-864623'], ['dcgat-agm002335366', 'mp-864623'], ['dcgat-agm003195017', 'mp-2647117', 'mp-1120774']]","[['Au-0.25-Cu-0.5-Zn-0.25', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.5-Cu-0.25-Zn-0.25'], ['Cu-0.75-Zn-0.25', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Cu-0.889-Zn-0.111', 'Au-0.5-Cu-0.25-Zn-0.25'], ['Cu-0.8-Zn-0.2', 'Zn-1.0', 'Cu-1.0']]","[[0.01, 0.99], [1.0], [0.02, 0.98], [0.0, 1.0], [0.01, 0.99, 0.0]]","[34.3, 34.4, 34.4, 34.4, 46.7]",5,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.5-Cu-0.25-Zn-0.25_pp0_rep1.xy,vsp14_240906_Au-0.5-Cu-0.25-Zn-0.25_pp0_rep1,vsp,14,240906,Au-0.5-Cu-0.25-Zn-0.25,Au-0.237-Cu-0.163-Zn-0.6,"[0.263, 0.087, -0.35]","[0.0, 0.01, 0.01]","[['mp-864623'], ['dcgat-agm003266847', 'oqmd-794674', 'mp-1120774'], ['oqmd-794674', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003592898', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003200121', 'oqmd-311946', 'mp-1120774'], ['dcgat-agm003162781', 'oqmd-311946', 'mp-1120774'], ['oqmd-311946', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003194947', 'oqmd-794674', 'mp-1120774'], ['dcgat-agm003194954', 'oqmd-794674', 'mp-1120774'], ['dcgat-agm003186280'], ['dcgat-agm002371389', 'cod-5910022', 'mp-1120774'], ['dcgat-agm003290563', 'oqmd-405374', 'mp-2647117'], ['oqmd-742755'], ['dcgat-agm003292053', 'mp-1120774', 'cod-1510573'], ['mp-1215564']]","[['Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.111-Zn-0.889', 'Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0'], ['Au-0.25-Cu-0.25-Zn-0.5', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.111-Cu-0.444-Zn-0.444', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.667-Cu-0.333', 'Au-0.25-Zn-0.75', 'Cu-1.0'], ['Au-0.75-Cu-0.25', 'Au-0.25-Zn-0.75', 'Cu-1.0'], ['Au-0.25-Zn-0.75', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.6-Cu-0.4', 'Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0'], ['Au-0.8-Cu-0.2', 'Au-0.25-Cu-0.25-Zn-0.5', 'Cu-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.111-Cu-0.889', 'Au-0.385-Zn-0.615', 'Cu-1.0'], ['Au-0.625-Zn-0.375', 'Au-0.25-Cu-0.5-Zn-0.25', 'Zn-1.0'], ['Au-0.5-Cu-0.25-Zn-0.25'], ['Au-0.556-Cu-0.444', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Au-0.5-Cu-0.25-Zn-0.25']]","[[1.0], [0.01, 0.84, 0.15], [0.83, 0.01, 0.16], [0.12, 0.88, 0.0], [0.01, 0.86, 0.13], [0.01, 0.88, 0.11], [0.81, 0.06, 0.14], [0.0, 0.86, 0.14], [0.0, 0.86, 0.14], [1.0], [0.0, 0.81, 0.19], [0.0, 0.0, 1.0], [1.0], [0.0, 0.0, 1.0], [1.0]]","[30.7, 32.2, 32.4, 32.4, 33.5, 34.3, 34.7, 34.7, 34.8, 35.9, 36.4, 36.5, 37.7, 44.0, 49.5]",15,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.5-Cu-0.4-Zn-0.1_pp0_rep1.xy,vsp14_240906_Au-0.5-Cu-0.4-Zn-0.1_pp0_rep1,vsp,14,240906,Au-0.5-Cu-0.4-Zn-0.1,Au-0.43-Cu-0.4-Zn-0.17,"[0.07, 0.0, -0.07]","[0.02, 0.01, 0.01]","[['mp-989782'], ['mp-989782', 'mp-2647117'], ['dcgat-agm003197249', 'mp-2647117', 'mp-1120774']]","[['Cu-1.0'], ['Cu-1.0', 'Zn-1.0'], ['Cu-0.333-Zn-0.667', 'Zn-1.0', 'Cu-1.0']]","[[1.0], [0.42, 0.58], [0.07, 0.93, 0.0]]","[46.2, 48.0, 49.0]",3,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.571-Cu-0.286-Zn-0.143_pp0_rep1.xy,vsp14_240906_Au-0.571-Cu-0.286-Zn-0.143_pp0_rep1,vsp,14,240906,Au-0.571-Cu-0.286-Zn-0.143,Au-0.205-Cu-0.286-Zn-0.509,"[0.366, 0.0, -0.366]","[0.01, 0.01, 0.01]","[['oqmd-758632', 'cod-1510573', 'mp-1120774'], ['mp-989782', 'mp-79'], ['dcgat-agm003196001', 'dcgat-agm003187406', 'cod-1510573'], ['dcgat-agm003201149', 'cod-1510573', 'mp-1120774'], ['dcgat-agm001828492', 'cod-1510573', 'mp-1120774'], ['oqmd-758614', 'mp-1120774', 'cod-1510573'], ['mp-1178476', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003286978', 'cod-1510573', 'mp-1120774'], ['oqmd-1372459', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003264510', 'dcgat-agm003186280', 'dcgat-agm003162777'], ['dcgat-agm003164009', 'cod-1510573', 'mp-1120774'], ['oqmd-758607', 'cod-1510573', 'mp-1120774'], ['oqmd-758611', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003185614', 'oqmd-758621', 'dcgat-agm003162777'], ['mp-79'], ['mp-989782'], ['mp-81', 'mp-79'], ['mp-81', 'mp-989782', 'mp-79'], ['dcgat-agm003447519'], ['mp-81', 'mp-989782']]","[['Au-0.333-Zn-0.667', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Cu-1.0', 'Zn-1.0'], ['Au-0.167-Cu-0.833', 'Au-0.5-Cu-0.5', 'Au-0.625-Zn-0.375'], ['Au-0.167-Zn-0.833', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.25-Zn-0.75', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.5-Zn-0.5', 'Cu-1.0', 'Au-0.625-Zn-0.375'], ['Cu-0.429-O-0.571', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.4-Zn-0.6', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.333-Zn-0.667', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.375-Cu-0.625', 'Au-0.5-Cu-0.25-Zn-0.25', 'Au-0.75-Cu-0.25'], ['Au-0.25-Cu-0.25-Zn-0.5', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.429-Zn-0.571', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.5-Zn-0.5', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.75-Zn-0.25', 'Au-0.333-Zn-0.667', 'Au-0.75-Cu-0.25'], ['Zn-1.0'], ['Cu-1.0'], ['Au-1.0', 'Zn-1.0'], ['Au-1.0', 'Cu-1.0', 'Zn-1.0'], ['Au-0.571-Cu-0.286-Zn-0.143'], ['Au-1.0', 'Cu-1.0']]","[[0.59, 0.07, 0.34], [0.69, 0.31], [0.32, 0.1, 0.58], [0.74, 0.05, 0.22], [0.27, 0.38, 0.35], [0.56, 0.39, 0.05], [0.0, 0.59, 0.41], [0.12, 0.5, 0.38], [0.11, 0.63, 0.26], [0.52, 0.06, 0.42], [0.22, 0.66, 0.12], [0.13, 0.54, 0.33], [0.35, 0.21, 0.45], [0.0, 0.32, 0.68], [1.0], [1.0], [0.0, 1.0], [0.0, 0.15, 0.85], [1.0], [0.0, 1.0]]","[33.5, 33.8, 34.1, 34.5, 34.9, 35.1, 35.3, 35.3, 35.4, 36.5, 38.4, 39.1, 41.4, 41.6, 46.7, 48.8, 48.8, 48.9, 49.0, 49.2]",20,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.667-Cu-0.111-Zn-0.222_pp0_rep1.xy,vsp14_240906_Au-0.667-Cu-0.111-Zn-0.222_pp0_rep1,vsp,14,240906,Au-0.667-Cu-0.111-Zn-0.222,Au-0.061-Cu-0.636-Zn-0.303,"[0.606, -0.525, -0.081]","[0.01, 0.01, 0.01]","[['dcgat-agm003294737', 'dcgat-agm003297283', 'mp-1215529'], ['mp-1187812'], ['dcgat-agm002136625', 'dcgat-agm003200120', 'dcgat-agm003189936'], ['dcgat-agm003268253', 'dcgat-agm003200120', 'mp-754126'], ['mp-989782'], ['dcgat-agm003485961'], ['mp-81'], ['mp-81', 'mp-989782'], ['mp-81', 'mp-1187812'], ['mp-81', 'mp-989782', 'mp-1187812']]","[['Au-0.333-Zn-0.667', 'Cu-0.8-Zn-0.2', 'Cu-0.75-Zn-0.25'], ['Zn-1.0'], ['Au-1.0', 'Au-0.667-Cu-0.333', 'Cu-0.75-Zn-0.25'], ['Au-0.333-Zn-0.667', 'Au-0.667-Cu-0.333', 'Au-0.25-Cu-0.25-O-0.5'], ['Cu-1.0'], ['Au-0.667-Cu-0.111-Zn-0.222'], ['Au-1.0'], ['Au-1.0', 'Cu-1.0'], ['Au-1.0', 'Zn-1.0'], ['Au-1.0', 'Cu-1.0', 'Zn-1.0']]","[[1.0, 0.0, 0.0], [1.0], [0.24, 0.2, 0.56], [0.56, 0.25, 0.19], [1.0], [1.0], [1.0], [nan, nan], [0.0, 1.0], [0.0, 0.0, 1.0]]","[30.4, 30.6, 34.5, 37.7, 38.7, 38.7, 38.7, 38.7, 38.8, 38.8]",10,[],[0],0.0,[],[],[],[]
vsp14_240906\/raw\/vsp14_240906_Au-0.667-Cu-0.222-Zn-0.111_pp0_rep1.xy,vsp14_240906_Au-0.667-Cu-0.222-Zn-0.111_pp0_rep1,vsp,14,240906,Au-0.667-Cu-0.222-Zn-0.111,Au-0.404-Cu-0.256-Zn-0.341,"[0.263, -0.034, -0.23]","[0.01, 0.0, 0.01]","[['dcgat-agm003203422', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003264510', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003203431', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003266847', 'cod-1510573'], ['dcgat-agm003592898', 'cod-1510573', 'mp-1120774'], ['dcgat-agm003185614', 'cod-1510573']]","[['Au-0.333-Cu-0.667', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.375-Cu-0.625', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.167-Cu-0.833', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.111-Zn-0.889', 'Au-0.625-Zn-0.375'], ['Au-0.111-Cu-0.444-Zn-0.444', 'Au-0.625-Zn-0.375', 'Cu-1.0'], ['Au-0.75-Zn-0.25', 'Au-0.625-Zn-0.375']]","[[0.37, 0.25, 0.38], [0.15, 0.48, 0.37], [0.05, 0.63, 0.32], [0.22, 0.78], [0.0, 0.66, 0.34], [0.0, 1.0]]","[34.8, 37.1, 37.7, 37.8, 37.9, 39.2]",6,[],[0],0.0,[],[],[],[]
vsp13_240823_2\/raw\/vsp13_240823_Ag-0.067-Au-0.533-Zn-0.4_pp0_rep1.xy,vsp13_240823_Ag-0.067-Au-0.533-Zn-0.4_pp0_rep1,vsp,13,240823,Ag-0.067-Au-0.533-Zn-0.4,Ag-0.078-Au-0.419-Zn-0.503,"[-0.011, 0.114, -0.103]","[0.03, 0.01, 0.03]","[['dcgat-agm003289101', 'cod-1510573', 'cod-1509568'], ['dcgat-agm003388416', 'oqmd-1520928', 'dcgat-agm003162006'], ['dcgat-agm003223402', 'cod-1510573', 'cod-1509568'], ['dcgat-agm003677109'], ['dcgat-agm003203280', 'cod-1510573', 'cod-1509568']]","[['Ag-0.778-Zn-0.222', 'Au-0.625-Zn-0.375', 'Ag-0.5-Zn-0.5'], ['Ag-0.2-Au-0.4-Zn-0.4', 'Ag-0.5-Au-0.5', 'Ag-0.5-Zn-0.5'], ['Au-0.556-Zn-0.444', 'Au-0.625-Zn-0.375', 'Ag-0.5-Zn-0.5'], ['Ag-0.083-Au-0.417-Zn-0.5'], ['Ag-0.667-Au-0.333', 'Au-0.625-Zn-0.375', 'Ag-0.5-Zn-0.5']]","[[0.31, 0.64, 0.06], [0.33, 0.03, 0.64], [0.25, 0.74, 0.02], [1.0], [0.06, 0.94, 0.0]]","[41.9, 44.0, 46.8, 46.9, 48.4]",5,[['dcgat-agm003677109']],[77.88],77.88,[['Ag-0.083-Au-0.417-Zn-0.5']],[46.9],[[1.0]],[4]
vsp13_240823_2\/raw\/vsp13_240823_Ag-0.083-Au-0.417-Zn-0.5_pp0_rep1.xy,vsp13_240823_Ag-0.083-Au-0.417-Zn-0.5_pp0_rep1,vsp,13,240823,Ag-0.083-Au-0.417-Zn-0.5,Ag-0.1-Au-0.425-Zn-0.475,"[-0.017, -0.008, 0.025]","[0.03, 0.01, 0.03]","[['dcgat-agm003267556', 'cod-1510573'], ['dcgat-agm003388416', 'oqmd-1520928', 'cod-2310025'], ['dcgat-agm003268313', 'cod-1510573'], ['dcgat-agm003289101', 'cod-1510573']]","[['Ag-0.667-Zn-0.333', 'Au-0.625-Zn-0.375'], ['Ag-0.2-Au-0.4-Zn-0.4', 'Ag-0.5-Au-0.5', 'Ag-0.25-Au-0.25-Zn-0.5'], ['Au-0.667-Zn-0.333', 'Au-0.625-Zn-0.375'], ['Ag-0.778-Zn-0.222', 'Au-0.625-Zn-0.375']]","[[0.6, 0.4], [0.39, 0.01, 0.6], [0.28, 0.72], [0.28, 0.72]]","[43.1, 46.5, 49.5, 49.6]",4,[],[0],0.0,[],[],[],[]
